customer_account,meter_number,site_code,bill_date,billing_period_start,billing_period_end,previous_reading,current_reading,consumption_kwh,sanctioned_load_kw,connected_load_kw,tariff_category,fixed_charges,energy_charges,tax_amount,total_amount,currency,due_date
CA-153239267,MTR-BSES-001,DEL-OFF-01,2023-05-17,2023-04-14,2023-05-13,10312,10672,353,3.00,2.37,Domestic Residential,147.90,1293.00,83.20,2038.35,INR,2023-06-01
CA-200145882,MTR-BESCOM-101,BLR-PLT-01,2026-01-01,2025-12-01,2025-12-31,384200,394620,10420,320,300,Industrial HT,25000,87000,6000,112000,INR,2026-01-15
CA-200145883,MTR-BESCOM-102,BLR-OFF-01,2026-01-05,2025-12-05,2026-01-04,12000,14450,2450,80,75,Commercial LT,5000,24000,2000,31000,INR,2026-01-20
CA-200145884,MTR-EU-001,BER-PLT-01,2026-03-16,2026-01-10,2026-03-15,900000,998000,98000,1200,1100,Industrial,2000,13000,1000,16000,EUR,2026-03-30
CA-200145885,MTR-BESCOM-103,BLR-PLT-01,2026-01-31,2026-01-01,2026-01-31,50000,55200,,100,95,Industrial HT,12000,35000,3000,50000,INR,2026-02-12
CA-200145886,MTR-BSES-002,DEL-OFF-02,2023-06-18,2023-05-14,2023-06-13,10672,11090,418,4.00,3.20,Commercial LT,210.00,1580.00,95.00,2450.00,INR,2023-07-01
CA-200145887,MTR-BESCOM-104,BLR-PLT-02,2026-02-01,2026-01-01,2026-01-31,394620,406100,11480,350,330,Industrial HT,27000,93000,6500,126500,INR,2026-02-15
CA-200145888,MTR-MSEDCL-201,MUM-WH-01,2026-02-04,2026-01-05,2026-02-04,88000,90550,2550,90,85,Commercial LT,5200,24800,2100,32100,INR,2026-02-20
CA-200145889,MTR-TNEB-301,CHN-OFF-01,2026-02-02,2026-01-01,2026-01-31,45000,46890,1890,70,65,Commercial LT,4100,18600,1600,24300,INR,2026-02-18
CA-200145890,MTR-EU-002,BER-PLT-02,2026-02-28,2026-02-01,2026-02-28,998000,1055000,57000,1000,980,Industrial,1800,9800,900,12500,EUR,2026-03-15
CA-200145891,MTR-BSES-003,DEL-OFF-03,2023-07-17,2023-06-14,2023-07-13,11090,11090,0,3.00,2.50,Domestic Residential,150.00,0.00,50.00,700.00,INR,2023-08-01
CA-200145892,MTR-BESCOM-105,BLR-PLT-03,2026-02-01,2026-01-01,2026-01-31,70000,69000,-1000,150,140,Industrial HT,15000,0,1000,16000,INR,2026-02-14
CA-200145893,MTR-BESCOM-106,BLR-OFF-02,2026-02-05,2026-01-05,2026-02-04,20000,22800,2800,85,82,Commercial LT,5600,27000,2300,34900,INR,2026-02-22
CA-200145894,MTR-MSEDCL-202,MUM-WH-02,2026-03-05,2026-02-01,2026-03-04,90550,93800,3250,95,90,Commercial LT,6000,31500,2500,40000,INR,2026-03-20
CA-200145895,MTR-BSES-004,DEL-OFF-04,2023-08-17,2023-07-14,2023-08-13,11090,11520,430,4.00,3.70,Commercial LT,220.00,1650.00,100.00,2550.00,INR,2023-09-01
CA-200145896,MTR-EU-003,AMS-OFF-01,2026-03-01,2026-02-01,2026-02-28,30000,31800,1800,40,35,Commercial,500,4200,300,5000,EUR,2026-03-18
CA-200145897,MTR-BESCOM-107,BLR-PLT-04,2026-03-01,2026-02-01,2026-02-28,406100,418500,12400,360,345,Industrial HT,28000,101000,7000,136000,INR,2026-03-15
CA-200145898,MTR-TNEB-302,CHN-PLT-01,2026-03-02,2026-02-01,2026-02-28,60000,68400,8400,250,230,Industrial HT,18000,72000,5000,95000,INR,2026-03-18
CA-200145899,MTR-EU-004,BER-WH-01,2026-04-20,2026-03-01,2026-04-15,1055000,1120000,65000,1050,1000,Industrial,1900,11000,1000,13900,EUR,2026-05-01
CA-200145900,,BLR-OFF-03,2026-03-10,2026-02-05,2026-03-05,22800,25400,2600,80,76,Commercial LT,5300,25300,2100,32700,INR,2026-03-25
