expense_report_id,employee_id,travel_date,category,origin,destination,distance_km,cabin_class,hotel_nights,amount,currency,vendor
TR-0,EMP-0,2019-09-26,Flight,Recife (PE),Florianopolis (SC),676.53,firstClass,,1434.38,BRL,FlyingDrops
TR-0,EMP-0,2019-09-30,Flight,Florianopolis (SC),Recife (PE),676.53,firstClass,,1292.29,BRL,FlyingDrops
TR-1,EMP-0,2019-10-03,Flight,Brasilia (DF),Florianopolis (SC),637.56,firstClass,,1487.52,BRL,CloudFy
TR-1,EMP-0,2019-10-04,Flight,Florianopolis (SC),Brasilia (DF),637.56,firstClass,,1127.36,BRL,CloudFy
TR-2,EMP-0,2019-10-10,Flight,Aracaju (SE),Salvador (BH),830.86,firstClass,,1684.05,BRL,CloudFy
TR-2,EMP-0,2019-10-12,Flight,Salvador (BH),Aracaju (SE),830.86,firstClass,,1531.92,BRL,CloudFy
TR-3,EMP-0,2019-10-17,Flight,Aracaju (SE),Campo Grande (MS),650.1,economic,,743.54,BRL,Rainbow
TR-3,EMP-0,2019-10-20,Flight,Campo Grande (MS),Aracaju (SE),650.1,economic,,877.56,BRL,Rainbow
TR-4,EMP-0,2019-10-24,Flight,Recife (PE),Florianopolis (SC),676.53,economic,,803.39,BRL,Rainbow
TR-4,EMP-0,2019-10-26,Flight,Florianopolis (SC),Recife (PE),676.53,economic,,695.3,BRL,Rainbow
TR-5,EMP-0,2019-10-31,Flight,Brasilia (DF),Aracaju (SE),425.98,firstClass,,1287.52,BRL,FlyingDrops
TR-5,EMP-0,2019-11-01,Flight,Aracaju (SE),Brasilia (DF),425.98,firstClass,,898.04,BRL,FlyingDrops
TR-6,EMP-0,2019-11-07,Flight,Recife (PE),Florianopolis (SC),676.53,premium,,1070.54,BRL,Rainbow
TR-6,EMP-0,2019-11-10,Flight,Florianopolis (SC),Recife (PE),676.53,premium,,1013.4,BRL,Rainbow
TR-7,EMP-0,2019-11-14,Flight,Aracaju (SE),Salvador (BH),830.86,economic,,964.83,BRL,CloudFy
